order_id,user_id,product_id,timestamp,quantity,total_price
0,38638,7752,2025-08-25 04:04:28,3,787.1999999999999
1,16218,4743,2025-01-01 20:38:18,2,641.0
2,17828,157,2025-03-14 22:00:50,3,1313.31
3,12052,9480,2025-06-11 11:58:32,3,911.76
4,22207,7333,2025-07-15 10:08:15,2,256.7
5,23211,6727,2025-07-08 20:30:55,2,762.78
6,34311,9076,2025-07-20 19:45:24,2,505.8
7,6265,9652,2025-05-09 18:45:56,1,62.37
8,5624,9058,2025-03-11 19:29:11,2,420.66
9,35100,3837,2025-03-09 19:52:37,3,1036.98
10,34278,6514,2025-09-08 23:58:14,1,370.94
11,1128,3144,2025-10-28 06:51:54,1,203.7
12,16189,3577,2025-05-30 02:10:05,3,606.54
13,21150,3583,2025-03-21 11:43:30,3,1179.69
14,14814,4956,2025-01-13 22:24:23,2,244.26
15,21591,5236,2025-08-22 00:28:21,3,393.09000000000003
16,31000,4736,2025-04-06 12:31:17,2,146.6
17,20280,3271,2025-04-14 11:34:56,3,1490.31
18,12762,1758,2025-08-16 02:13:05,1,67.6
19,1903,223,2025-08-25 16:21:30,1,174.08
20,36896,14,2025-11-07 14:13:29,1,132.43
21,11998,8261,2025-08-11 00:13:45,1,111.4
22,13870,7418,2025-04-12 09:07:27,2,623.12
23,13443,8932,2025-07-03 20:38:09,2,943.66
24,39636,8508,2025-07-13 14:26:02,2,368.76
25,17820,381,2025-11-16 18:40:32,2,291.74
26,3254,6449,2025-05-31 19:36:07,1,192.69
27,24443,6296,2025-06-12 05:27:00,1,465.32
28,16534,5884,2025-09-26 22:57:02,3,1149.3600000000001
29,37940,4253,2025-08-19 21:20:09,2,460.34
30,13217,6770,2025-08-15 23:13:48,3,193.35000000000002
31,28518,1480,2025-04-30 15:44:03,3,1420.8000000000002
32,32622,262,2025-01-25 21:19:04,3,1134.54
33,11480,2809,2025-06-25 04:39:59,3,188.13
34,1329,8477,2025-05-29 21:36:07,2,375.5
35,9217,4050,2025-02-20 17:51:36,3,361.26
36,2907,6827,2025-03-31 05:08:11,2,889.38
37,33498,8656,2025-05-17 23:22:26,1,459.72
38,17073,1644,2025-05-05 05:30:10,1,71.49
39,39268,7579,2025-09-03 14:51:41,1,299.09
40,35252,7645,2025-07-14 20:16:20,1,30.89
41,13813,1432,2025-03-12 21:59:09,2,864.72
42,3140,8635,2025-04-28 02:54:06,1,145.63
43,25089,9759,2025-09-18 11:25:45,3,826.6500000000001
44,5260,1858,2025-03-22 15:22:15,3,1135.35
45,22415,7214,2025-01-17 22:18:43,2,271.44
46,33621,4587,2025-11-18 12:01:58,1,76.89
47,1767,6023,2025-05-24 22:02:53,2,943.18
48,9125,8695,2025-07-08 21:04:15,2,765.96
49,23147,8246,2025-01-11 18:25:37,2,509.92
50,6826,5827,2025-10-25 16:27:16,1,280.66
51,1870,6813,2025-03-07 20:38:24,1,452.85
52,19916,5281,2025-06-23 08:11:42,1,372.13
53,34484,2017,2025-06-06 18:47:37,3,1030.59
54,26933,2838,2025-10-09 20:34:33,1,477.03
55,21316,3714,2025-05-25 09:54:35,3,1197.4499999999998
56,30855,3351,2025-01-17 16:26:46,3,1160.1299999999999
57,1680,6203,2025-04-25 20:18:09,3,436.65000000000003
58,4491,1279,2025-07-22 07:57:03,1,223.35
59,31293,4426,2025-09-22 08:02:13,2,52.62
60,15810,2459,2025-11-09 18:35:36,2,355.5
61,17177,7886,2025-03-23 15:11:41,1,127.6
62,39946,7175,2025-10-23 13:03:01,3,641.64
63,18276,9265,2025-07-27 23:32:48,1,90.0
64,8425,1950,2025-04-10 10:31:16,1,8.88
65,11289,903,2025-07-22 12:05:19,3,589.74
66,24636,8882,2025-07-24 15:02:06,2,657.08
67,19805,1409,2025-07-01 18:14:03,2,426.88
68,17404,2623,2025-08-04 23:21:12,3,892.5
69,14549,3002,2025-10-03 05:58:52,1,274.14
70,32600,5027,2025-08-01 23:22:51,3,1483.5
71,24943,2,2025-06-26 06:04:15,1,9.86
72,25524,5616,2025-05-01 15:52:35,2,897.28
73,26847,8813,2025-05-13 02:17:22,3,555.9000000000001
74,38919,3590,2025-03-07 20:16:08,2,25.28
75,10008,7749,2025-09-09 11:00:36,3,1463.01
76,6227,4693,2025-10-09 04:51:03,2,854.4
77,25365,9868,2025-05-02 04:01:28,1,135.47
78,11690,2953,2025-03-10 19:08:56,3,46.47
79,30301,8119,2025-11-08 23:35:50,2,597.24
80,19924,2450,2025-11-24 11:37:04,1,413.34
81,915,8909,2025-11-05 11:19:08,2,388.94
82,22696,9009,2025-09-24 19:21:00,3,687.33
83,33347,621,2025-05-20 07:15:25,3,41.25
84,37149,7189,2025-01-30 05:11:33,3,972.69
85,15837,6135,2025-02-22 13:23:03,2,704.1
86,5934,3251,2025-09-11 04:28:12,3,1032.15
87,29120,5731,2025-02-13 16:30:04,3,721.59
88,453,3239,2025-08-01 03:30:39,1,320.44
89,1721,1014,2025-07-25 06:26:44,1,181.83
90,10254,5648,2025-02-27 15:37:45,3,1029.48
