wishlist_id,user_id,product_id,added_on
0,1369,557,2025-10-28
1,2344,965,2025-05-11
2,2964,676,2025-03-05
3,2934,440,2025-06-04
4,2561,977,2025-10-06
5,3639,829,2025-10-03
6,727,513,2025-03-07
7,3131,386,2025-02-15
8,2748,648,2025-08-25
9,1508,385,2025-01-02
10,2442,297,2025-11-14
11,3880,416,2025-03-15
12,2289,759,2025-10-08
13,1297,778,2025-10-30
14,598,910,2025-07-24
15,1401,322,2025-05-08
16,1620,251,2025-11-15
17,530,350,2025-09-28
18,909,994,2025-04-27
19,3004,407,2025-01-10
20,1436,766,2025-04-14
21,1807,394,2025-01-23
22,207,89,2025-05-11
23,3426,832,2025-11-24
24,3113,524,2025-08-23
25,3712,499,2025-08-08
26,454,602,2025-09-17
27,88,752,2025-10-19
28,2284,892,2025-02-21
29,365,979,2025-06-15
30,690,305,2025-06-18
31,216,122,2025-01-05
32,926,687,2025-08-15
33,1160,343,2025-11-08
34,1476,793,2025-10-06
35,88,414,2025-07-21
36,3944,100,2025-06-21
37,1507,391,2025-02-23
38,3385,708,2025-05-06
39,3746,246,2025-05-15
40,318,844,2025-02-24
41,1859,444,2025-05-10
42,1244,310,2025-07-25
43,1100,762,2025-06-29
44,2807,117,2025-07-04
45,3559,458,2025-10-12
46,3700,456,2025-10-04
47,896,789,2025-06-08
48,1632,24,2025-08-24
49,1777,434,2025-03-15
50,3215,382,2025-09-01
51,1406,467,2025-01-22
52,1939,592,2025-07-23
53,2011,23,2025-10-27
54,2304,876,2025-04-29
55,840,380,2025-07-13
56,1100,893,2025-08-01
57,1311,334,2025-03-10
58,2005,534,2025-01-18
59,148,377,2025-10-24
60,431,506,2025-04-26
61,1505,722,2025-04-11
62,2869,858,2025-07-27
63,2940,99,2025-06-15
64,3232,498,2025-07-01
65,1108,665,2025-09-23
66,1229,682,2025-05-05
67,3419,576,2025-05-08
68,1733,572,2025-07-26
69,160,668,2025-09-17
70,23,873,2025-05-29
71,954,938,2025-11-22
72,1790,74,2025-02-24
73,3871,869,2025-08-17
74,2796,398,2025-03-17
75,3474,271,2025-10-17
76,3498,765,2025-07-02
77,2634,310,2025-07-12
78,1924,554,2025-08-04
79,3145,1,2025-08-20
80,243,759,2025-02-19
81,232,524,2025-05-23
82,345,15,2025-09-27
83,1742,788,2025-04-15
84,2388,106,2025-06-30
85,2109,671,2025-08-29
86,777,213,2025-08-14
87,1602,855,2025-06-06
88,3645,678,2025-10-01
89,997,559,2025-08-29
90,716,56,2025-10-17
91,2716,196,2025-07-15
92,2881,559,2025-09-16
93,3594,231,2025-07-06
94,2616,71,2025-10-14
95,1986,410,2025-05-12
96,1919,956,2025-04-13
97,841,10,2025-10-19
98,408,525,2025-09-08
99,2819,869,2025-07-25
